Pokedex_Number,Name,Image,Type,Ability,Hp,Attack,Defense,Sp. Attack,Sp. Defense,Speed
#00288,Vigoroth,37.png,Normal,Vital Spirit,80,80,80,55,55,90
#00289,Slaking,38.png,Normal,Truant,150,160,100,95,65,100
#00290,Nincada,39.png,"Bug, Ground",Compoundeyes Run Away,31,45,90,30,30,40
#00291,Ninjask,40.png,"Bug, Flying",Speed Boost Infiltrator,61,90,45,50,50,160
#00292,Shedinja,41.png,"Bug, Ghost",Wonder Guard,1,90,45,30,30,40
#00293,Whismur,42.png,Normal,Soundproof Rattled,64,51,23,51,23,28
#00294,Loudred,43.png,Normal,Soundproof Scrappy,84,71,43,71,43,48
#00295,Exploud,44.png,Normal,Soundproof Scrappy,104,91,63,91,73,68
#00296,Makuhita,45.png,Fighting,Thick Fat Guts Sheer Force,72,60,30,20,30,25
#00297,Hariyama,46.png,Fighting,Thick Fat Guts Sheer Force,144,120,60,40,60,50
#00298,Azurill,47.png,"Normal, Fairy",Thick Fat Huge Power Sap Sipper,50,20,40,20,40,20
#00299,Nosepass,48.png,Rock,Sturdy Magnet Pull Sand Force,30,45,135,45,90,30
#00300,Skitty,49.png,Normal,Cute Charm Normalize Wonder Skin,50,45,45,35,35,50
#00301,Delcatty,50.png,Normal,Cute Charm Normalize Wonder Skin,70,65,65,55,55,90
#00302,Sableye,51.png,"Dark, Ghost",Keen Eye Stall Prankster,50,75,75,65,65,50
#00303,Mawile,52.png,"Steel, Fairy",Hyper Cutter Intimidate Sheer Force,50,85,85,55,55,50
#00304,Aron,53.png,"Steel, Rock",Sturdy Rock Head Heavy Metal,50,70,100,40,40,30
#00305,Lairon,54.png,"Steel, Rock",Sturdy Rock Head Heavy Metal,60,90,140,50,50,40
#00306,Aggron,55.png,"Steel, Rock",Sturdy Rock Head Heavy Metal,70,110,180,60,60,50
#00307,Meditite,56.png,"Fighting, Psychic",Pure Power Telepathy,30,40,55,40,55,60
#00308,Medicham,57.png,"Fighting, Psychic",Pure Power Telepathy,60,60,75,60,75,80
#00309,Electrike,58.png,Electric,Static Lightning Rod Minus,40,45,40,65,40,65
#00310,Manectric,59.png,Electric,Static Lightning Rod Minus,70,75,60,105,60,105
#00311,Plusle,60.png,Electric,Plus Lightning Rod,60,50,40,85,75,95
#00312,Minun,61.png,Electric,Minus Volt Absorb,60,40,50,75,85,95
#00313,Volbeat,62.png,Bug,Illuminate Swarm Prankster,65,73,75,47,85,85
#00314,Illumise,63.png,Bug,Oblivious Tinted Lens Prankster,65,47,75,73,85,85
#00315,Roselia,64.png,"Grass, Poison",Natural Cure Poison Point Leaf Guard,50,60,45,100,80,65
#00316,Gulpin,65.png,Poison,Liquid Ooze Sticky Hold Gluttony,70,43,53,43,53,40
#00317,Swalot,66.png,Poison,Liquid Ooze Sticky Hold Gluttony,100,73,83,73,83,55
#00318,Carvanha,67.png,"Water, Dark",Rough Skin Speed Boost,45,90,20,65,20,65
#00319,Sharpedo,68.png,"Water, Dark",Rough Skin Speed Boost,70,120,40,95,40,95
#00320,Wailmer,69.png,Water,Water Veil Oblivious Pressure,130,70,35,70,35,60
#00321,Wailord,70.png,Water,Water Veil Oblivious Pressure,170,90,45,90,45,60
#00322,Numel,71.png,"Fire, Ground",Oblivious Simple Own Tempo,60,60,40,65,45,35
#00323,Camerupt,72.png,"Fire, Ground",Magma Armor Solid Rock Anger Point,70,100,70,105,75,40
#00324,Torkoal,73.png,Fire,White Smoke Drought Shell Armor,70,85,140,85,70,20
#00325,Spoink,74.png,Psychic,Thick Fat Own Tempo Gluttony,60,25,35,70,80,60
#00326,Grumpig,75.png,Psychic,Thick Fat Own Tempo Gluttony,80,45,65,90,110,80
#00327,Spinda,76.png,Normal,Own Tempo Tangled Feet Contrary,60,60,60,60,60,60
#00328,Trapinch,77.png,Ground,Hyper Cutter Arena Trap Sheer Force,45,100,45,45,45,10
#00329,Vibrava,78.png,"Ground, Dragon",Levitate,50,70,50,50,50,70
#00330,Flygon,79.png,"Ground, Dragon",Levitate,80,100,80,80,80,100
#00331,Cacnea,80.png,Grass,Sand Veil Water Absorb,50,85,40,85,40,35
#00332,Cacturne,81.png,"Grass, Dark",Sand Veil Water Absorb,70,115,60,115,60,55
#00333,Swablu,82.png,"Normal, Flying",Natural Cure Cloud Nine,45,40,60,40,75,50
#00334,Altaria,83.png,"Dragon, Flying",Natural Cure Cloud Nine,75,70,90,70,105,80
#00335,Zangoose,84.png,Normal,Immunity Toxic Boost,73,115,60,60,60,90
#00336,Seviper,85.png,Poison,Shed Skin Infiltrator,73,100,60,100,60,65
#00337,Lunatone,86.png,"Rock, Psychic",Levitate,90,55,65,95,85,70
#00338,Solrock,87.png,"Rock, Psychic",Levitate,90,95,85,55,65,70
#00339,Barboach,88.png,"Water, Ground",Oblivious Anticipation Hydration,50,48,43,46,41,60
#00340,Whiscash,89.png,"Water, Ground",Oblivious Anticipation Hydration,110,78,73,76,71,60
#00341,Corphish,90.png,Water,Hyper Cutter Shell Armor Adaptability,43,80,65,50,35,35
#00342,Crawdaunt,91.png,"Water, Dark",Hyper Cutter Shell Armor Adaptability,63,120,85,90,55,55
#00343,Baltoy,92.png,"Ground, Psychic",Levitate,40,40,55,40,70,55
#00344,Claydol,93.png,"Ground, Psychic",Levitate,60,70,105,70,120,75
#00345,Lileep,94.png,"Rock, Grass",Suction Cups Storm Drain,66,41,77,61,87,23
#00346,Cradily,95.png,"Rock, Grass",Suction Cups Storm Drain,86,81,97,81,107,43
#00347,Anorith,96.png,"Rock, Bug",Battle Armor Swift Swim,45,95,50,40,50,75
#00348,Armaldo,97.png,"Rock, Bug",Battle Armor Swift Swim,75,125,100,70,80,45
#00349,Feebas,98.png,Water,Swift Swim Oblivious Adaptability,20,15,20,10,55,80
#00350,Milotic,99.png,Water,Marvel Scale Competitive Cute Charm,95,60,79,100,125,81
#00351,Castform,100.png,Normal,Forecast,70,70,70,70,70,70
#00352,Kecleon,101.png,Normal,Color Change Protean,60,90,70,60,120,40
#00353,Shuppet,102.png,Ghost,Insomnia Frisk Cursed Body,44,75,35,63,33,45
#00354,Banette,103.png,Ghost,Insomnia Frisk Cursed Body,64,115,65,83,63,65
#00355,Duskull,104.png,Ghost,Levitate Frisk,20,40,90,30,90,25
#00356,Dusclops,105.png,Ghost,Pressure Frisk,40,70,130,60,130,25
#00357,Tropius,106.png,"Grass, Flying",Chlorophyll Solar Power Harvest,99,68,83,72,87,51
#00358,Chimecho,107.png,Psychic,Levitate,75,50,80,95,90,65
#00359,Absol,108.png,Dark,Pressure Super Luck Justified,65,130,60,75,60,75
#00360,Wynaut,109.png,Psychic,Shadow Tag Telepathy,95,23,48,23,48,23
#00361,Snorunt,110.png,Ice,Inner Focus Ice Body Moody,50,50,50,50,50,50
#00362,Glalie,111.png,Ice,Inner Focus Ice Body Moody,80,80,80,80,80,80
#00363,Spheal,112.png,"Ice, Water",Thick Fat Ice Body Oblivious,70,40,50,55,50,25
#00364,Sealeo,113.png,"Ice, Water",Thick Fat Ice Body Oblivious,90,60,70,75,70,45
#00365,Walrein,114.png,"Ice, Water",Thick Fat Ice Body Oblivious,110,80,90,95,90,65
#00366,Clamperl,115.png,Water,Shell Armor Rattled,35,64,85,74,55,32
#00367,Huntail,116.png,Water,Swift Swim Water Veil,55,104,105,94,75,52
#00368,Gorebyss,117.png,Water,Swift Swim Hydration,55,84,105,114,75,52
#00369,Relicanth,118.png,"Water, Rock",Swift Swim Rock Head Sturdy,100,90,130,45,65,55
#00370,Luvdisc,119.png,Water,Swift Swim Hydration,43,30,55,40,65,97
#00371,Bagon,120.png,Dragon,Rock Head Sheer Force,45,75,60,40,30,50
#00372,Shelgon,121.png,Dragon,Rock Head Overcoat,65,95,100,60,50,50
#00373,Salamence,122.png,"Dragon, Flying",Intimidate Moxie,95,135,80,110,80,100
#00374,Beldum,123.png,"Steel, Psychic",Clear Body Light Metal,40,55,80,35,60,30
#00375,Metang,124.png,"Steel, Psychic",Clear Body Light Metal,60,75,100,55,80,50
#00376,Metagross,125.png,"Steel, Psychic",Clear Body Light Metal,80,135,130,95,90,70
#00377,Regirock,126.png,Rock,Clear Body Sturdy,80,100,200,50,100,50
#00378,Regice,127.png,Ice,Clear Body Ice Body,80,50,100,100,200,50
#00379,Registeel,128.png,Steel,Clear Body Light Metal,80,75,150,75,150,50
#00380,Latias,129.png,"Dragon, Psychic",Levitate,80,80,90,110,130,110
#00381,Latios,130.png,"Dragon, Psychic",Levitate,80,90,80,130,110,110
#00382,Kyogre,131.png,Water,Drizzle,100,100,90,150,140,90
#00383,Groudon,132.png,Ground,Drought,100,150,140,100,90,90
#00384,Rayquaza,133.png,"Dragon, Flying",Air Lock,105,150,90,150,90,95
#00385,Jirachi,134.png,"Steel, Psychic",Serene Grace,100,100,100,100,100,100
#00386,Deoxys,135.png,Psychic,Pressure,50,150,50,150,50,150
