Pokedex_Number,Name,Image,Type,Ability,Hp,Attack,Defense,Sp. Attack,Sp. Defense,Speed
#00761,Bounsweet,40.png,Grass,Leaf Guard Oblivious Sweet Veil,42,30,38,30,38,32
#00762,Steenee,41.png,Grass,Leaf Guard Oblivious Sweet Veil,52,40,48,40,48,62
#00763,Tsareena,42.png,Grass,Leaf Guard Queenly Majesty Sweet Veil,72,120,98,50,98,72
#00764,Comfey,43.png,Fairy,Flower Veil Triage Natural Cure,51,52,90,82,110,100
#00765,Oranguru,44.png,"Normal, Psychic",Inner Focus Telepathy Symbiosis,90,60,80,90,110,60
#00766,Passimian,45.png,Fighting,Receiver Defiant,100,120,90,40,60,80
#00767,Wimpod,46.png,"Bug, Water",Wimp Out,25,35,40,20,30,80
#00768,Golisopod,47.png,"Bug, Water",Emergency Exit,75,125,140,60,90,40
#00769,Sandygast,48.png,"Ghost, Ground",Water Compaction Sand Veil,55,55,80,70,45,15
#00770,Palossand,49.png,"Ghost, Ground",Water Compaction Sand Veil,85,75,110,100,75,35
#00771,Pyukumuku,50.png,Water,Innards Out Unaware,55,60,130,30,130,5
#00772,Type: Null,51.png,Normal,Battle Armor,95,95,95,95,95,59
#00773,Silvally,52.png,Normal,RKS System,95,95,95,95,95,95
#00774,Minior,53.png,"Rock, Flying",Shields Down,60,60,100,60,100,60
#00775,Komala,54.png,Normal,Comatose,65,115,65,75,95,65
#00776,Turtonator,55.png,"Fire, Dragon",Shell Armor,60,78,135,91,85,36
#00777,Togedemaru,56.png,"Electric, Steel",Iron Barbs Lightning Rod Sturdy,65,98,63,40,73,96
#00778,Mimikyu,57.png,"Ghost, Fairy",Disguise,55,90,80,50,105,96
#00779,Bruxish,58.png,"Water, Psychic",Dazzling Strong Jaw Wonder Skin,68,105,70,70,70,92
#00780,Drampa,59.png,"Normal, Dragon",Berserk Sap Sipper Cloud Nine,78,60,85,135,91,36
#00781,Dhelmise,60.png,"Ghost, Grass",Steelworker,70,131,100,86,90,40
#00782,Jangmo-o,61.png,Dragon,Bulletproof Soundproof Overcoat,45,55,65,45,45,45
#00783,Hakamo-o,62.png,"Dragon, Fighting",Bulletproof Soundproof Overcoat,55,75,90,65,70,65
#00784,Kommo-o,63.png,"Dragon, Fighting",Bulletproof Soundproof Overcoat,75,110,125,100,105,85
#00785,Tapu Koko,64.png,"Electric, Fairy",Electric Surge Telepathy,70,115,85,95,75,130
#00786,Tapu Lele,65.png,"Psychic, Fairy",Psychic Surge Telepathy,70,85,75,130,115,95
#00787,Tapu Bulu,66.png,"Grass, Fairy",Grassy Surge Telepathy,70,130,115,85,95,75
#00788,Tapu Fini,67.png,"Water, Fairy",Misty Surge Telepathy,70,75,115,95,130,85
#00789,Cosmog,68.png,Psychic,Unaware,43,29,31,29,31,37
#00790,Cosmoem,69.png,Psychic,Sturdy,43,29,131,29,131,37
#00791,Solgaleo,70.png,"Psychic, Steel",Full Metal Body,137,137,107,113,89,97
#00792,Lunala,71.png,"Psychic, Ghost",Shadow Shield,137,113,89,137,107,97
#00793,Nihilego,72.png,"Rock, Poison",Beast Boost,109,53,47,127,131,103
#00794,Buzzwole,73.png,"Bug, Fighting",Beast Boost,107,139,139,53,53,79
#00795,Pheromosa,74.png,"Bug, Fighting",Beast Boost,71,137,37,137,37,151
#00796,Xurkitree,75.png,Electric,Beast Boost,83,89,71,173,71,83
#00797,Celesteela,76.png,"Steel, Flying",Beast Boost,97,101,103,107,101,61
#00798,Kartana,77.png,"Grass, Steel",Beast Boost,59,181,131,59,31,109
#00799,Guzzlord,78.png,"Dark, Dragon",Beast Boost,223,101,53,97,53,43
#00800,Necrozma,79.png,Psychic,Prism Armor,97,107,101,127,89,79
#00801,Magearna,80.png,"Steel, Fairy",Soul-Heart,80,95,115,130,115,65
#00802,Marshadow,81.png,"Fighting, Ghost",Technician,90,125,80,90,90,125
#00803,Poipole,82.png,Poison,Beast Boost,67,73,67,73,67,73
#00804,Naganadel,83.png,"Poison, Dragon",Beast Boost,73,73,73,127,73,121
#00805,Stakataka,84.png,"Rock, Steel",Beast Boost,61,131,211,53,101,13
#00806,Blacephalon,85.png,"Fire, Ghost",Beast Boost,53,127,53,151,79,107
#00807,Zeraora,86.png,Electric,Volt Absorb,88,112,75,102,80,143
#00808,Meltan,87.png,Steel,Magnet Pull,46,65,65,55,35,34
#00809,Melmetal,88.png,Steel,Iron Fist,135,143,143,80,65,34
