Pokedex_Number,Name,Type,Ability,Hp,Attack,Defense,Sp. Attack,Sp. Defense,Speed
#00065,Alakazam,Psychic,Synchronize Inner Focus Magic Guard,55,50,45,135,95,120
#00066,Machop,Fighting,Guts No Guard Steadfast,70,80,50,35,35,35
#00067,Machoke,Fighting,Guts No Guard Steadfast,80,100,70,50,60,45
#00068,Machamp,Fighting,Guts No Guard Steadfast,90,130,80,65,85,55
#00069,Bellsprout,"Grass, Poison",Chlorophyll Gluttony,50,75,35,70,30,40
#00070,Weepinbell,"Grass, Poison",Chlorophyll Gluttony,65,90,50,85,45,55
#00071,Victreebel,"Grass, Poison",Chlorophyll Gluttony,80,105,65,100,70,70
#00072,Tentacool,"Water, Poison",Clear Body Liquid Ooze Rain Dish,40,40,35,50,100,70
#00073,Tentacruel,"Water, Poison",Clear Body Liquid Ooze Rain Dish,80,70,65,80,120,100
#00074,Geodude,"Rock, Ground",Rock Head Sturdy Sand Veil,40,80,100,30,30,20
#00075,Graveler,"Rock, Ground",Rock Head Sturdy Sand Veil,55,95,115,45,45,35
#00076,Golem,"Rock, Ground",Rock Head Sturdy Sand Veil,80,120,130,55,65,45
#00077,Ponyta,Fire,Run Away Flash Fire Flame Body,50,85,55,65,65,90
#00078,Rapidash,Fire,Run Away Flash Fire Flame Body,65,100,70,80,80,105
#00079,Slowpoke,"Water, Psychic",Oblivious Own Tempo Regenerator,90,65,65,40,40,15
#00080,Slowbro,"Water, Psychic",Oblivious Own Tempo Regenerator,95,75,110,100,80,30
#00081,Magnemite,"Electric, Steel",Magnet Pull Sturdy Analytic,25,35,70,95,55,45
#00082,Magneton,"Electric, Steel",Magnet Pull Sturdy Analytic,50,60,95,120,70,70
#00083,Farfetch'd,"Normal, Flying",Keen Eye Inner Focus Defiant,52,90,55,58,62,60
#00084,Doduo,"Normal, Flying",Run Away Early Bird Tangled Feet,35,85,45,35,35,75
#00085,Dodrio,"Normal, Flying",Run Away Early Bird Tangled Feet,60,110,70,60,60,110
#00086,Seel,Water,Thick Fat Hydration Ice Body,65,45,55,45,70,45
#00087,Dewgong,"Water, Ice",Thick Fat Hydration Ice Body,90,70,80,70,95,70
#00088,Grimer,Poison,Stench Sticky Hold Poison Touch,80,80,50,40,50,25
#00089,Muk,Poison,Stench Sticky Hold Poison Touch,105,105,75,65,100,50
#00090,Shellder,Water,Shell Armor Skill Link Overcoat,30,65,100,45,25,40
#00091,Cloyster,"Water, Ice",Shell Armor Skill Link Overcoat,50,95,180,85,45,70
#00092,Gastly,"Ghost, Poison",Levitate,30,35,30,100,35,80
#00093,Haunter,"Ghost, Poison",Levitate,45,50,45,115,55,95
#00094,Gengar,"Ghost, Poison",Cursed Body,60,65,60,130,75,110
#00095,Onix,"Rock, Ground",Rock Head Sturdy Weak Armor,35,45,160,30,45,70
#00096,Drowzee,Psychic,Insomnia Forewarn Inner Focus,60,48,45,43,90,42
#00097,Hypno,Psychic,Insomnia Forewarn Inner Focus,85,73,70,73,115,67
#00098,Krabby,Water,Hyper Cutter Shell Armor Sheer Force,30,105,90,25,25,50
#00099,Kingler,Water,Hyper Cutter Shell Armor Sheer Force,55,130,115,50,50,75
#00100,Voltorb,Electric,Soundproof Static Aftermath,40,30,50,55,55,100
#00101,Electrode,Electric,Soundproof Static Aftermath,60,50,70,80,80,150
#00102,Exeggcute,"Grass, Psychic",Chlorophyll Harvest,60,40,80,60,45,40
#00103,Exeggutor,"Grass, Psychic",Chlorophyll Harvest,95,95,85,125,75,55
#00104,Cubone,Ground,Rock Head Lightning Rod Battle Armor,50,50,95,40,50,35
#00105,Marowak,Ground,Rock Head Lightning Rod Battle Armor,60,80,110,50,80,45
#00106,Hitmonlee,Fighting,Limber Reckless Unburden,50,120,53,35,110,87
#00107,Hitmonchan,Fighting,Keen Eye Iron Fist Inner Focus,50,105,79,35,110,76
#00108,Lickitung,Normal,Own Tempo Oblivious Cloud Nine,90,55,75,60,75,30
#00109,Koffing,Poison,Levitate Neutralizing Gas Stench,40,65,95,60,45,35
#00110,Weezing,Poison,Levitate Neutralizing Gas Stench,65,90,120,85,70,60
#00111,Rhyhorn,"Ground, Rock",Lightning Rod Rock Head Reckless,80,85,95,30,30,25
#00112,Rhydon,"Ground, Rock",Lightning Rod Rock Head Reckless,105,130,120,45,45,40
#00113,Chansey,Normal,Natural Cure Serene Grace Healer,250,5,5,35,105,50
#00114,Tangela,Grass,Chlorophyll Leaf Guard Regenerator,65,55,115,100,40,60
#00115,Kangaskhan,Normal,Early Bird Scrappy Inner Focus,105,95,80,40,80,90
#00116,Horsea,Water,Swift Swim Sniper Damp,30,40,70,70,25,60
#00117,Seadra,Water,Poison Point Sniper Damp,55,65,95,95,45,85
#00118,Goldeen,Water,Swift Swim Water Veil Lightning Rod,45,67,60,35,50,63
#00119,Seaking,Water,Swift Swim Water Veil Lightning Rod,80,92,65,65,80,68
#00120,Staryu,Water,Illuminate Natural Cure Analytic,30,45,55,70,55,85
#00121,Starmie,"Water, Psychic",Illuminate Natural Cure Analytic,60,75,85,100,85,115
#00122,Mr. Mime,"Psychic, Fairy",Soundproof Filter Technician,40,45,65,100,120,90
#00123,Scyther,"Bug, Flying",Swarm Technician Steadfast,70,110,80,55,80,105
#00124,Jynx,"Ice, Psychic",Oblivious Forewarn Dry Skin,65,50,35,115,95,95
#00125,Electabuzz,Electric,Static Vital Spirit,65,83,57,95,85,105
#00126,Magmar,Fire,Flame Body Vital Spirit,65,95,57,100,85,93
#00127,Pinsir,Bug,Hyper Cutter Mold Breaker Moxie,65,125,100,55,70,85
#00128,Tauros,Normal,Intimidate Anger Point Sheer Force,75,100,95,40,70,110
#00129,Magikarp,Water,Swift Swim Rattled,20,10,55,15,20,80
#00130,Gyarados,"Water, Flying",Intimidate Moxie,95,125,79,60,100,81
#00131,Lapras,"Water, Ice",Water Absorb Shell Armor Hydration,130,85,80,85,95,60
#00132,Ditto,Normal,Limber Imposter,48,48,48,48,48,48
#00133,Eevee,Normal,Run Away Adaptability Anticipation,55,55,50,45,65,55
#00134,Vaporeon,Water,Water Absorb Hydration,130,65,60,110,95,65
#00135,Jolteon,Electric,Volt Absorb Quick Feet,65,65,60,110,95,130
#00136,Flareon,Fire,Flash Fire Guts,65,130,60,95,110,65
#00137,Porygon,Normal,Trace Download Analytic,65,60,70,85,75,40
#00138,Omanyte,"Rock, Water",Swift Swim Shell Armor Weak Armor,35,40,100,90,55,35
#00139,Omastar,"Rock, Water",Swift Swim Shell Armor Weak Armor,70,60,125,115,70,55
#00140,Kabuto,"Rock, Water",Swift Swim Battle Armor Weak Armor,30,80,90,55,45,55
#00141,Kabutops,"Rock, Water",Swift Swim Battle Armor Weak Armor,60,115,105,65,70,80
#00142,Aerodactyl,"Rock, Flying",Rock Head Pressure Unnerve,80,105,65,60,75,130
#00143,Snorlax,Normal,Immunity Thick Fat Gluttony,160,110,65,65,110,30
#00144,Articuno,"Ice, Flying",Pressure Snow Cloak,90,85,100,95,125,85
#00145,Zapdos,"Electric, Flying",Pressure Static,90,90,85,125,90,100
#00146,Moltres,"Fire, Flying",Pressure Flame Body,90,100,90,125,85,90
#00147,Dratini,Dragon,Shed Skin Marvel Scale,41,64,45,50,50,50
#00148,Dragonair,Dragon,Shed Skin Marvel Scale,61,84,65,70,70,70
#00149,Dragonite,"Dragon, Flying",Inner Focus Multiscale,91,134,95,100,100,80
#00150,Mewtwo,Psychic,Pressure Unnerve,106,110,90,154,90,130
#00151,Mew,Psychic,Synchronize,100,100,100,100,100,100
