Pokedex_Number,Name,Image,Type,Ability,Hp,Attack,Defense,Sp. Attack,Sp. Defense,Speed
#00236,Tyrogue,85.png,Fighting,Guts Steadfast Vital Spirit,35,35,35,35,35,35
#00237,Hitmontop,86.png,Fighting,Intimidate Technician Steadfast,50,95,95,35,110,70
#00238,Smoochum,87.png,"Ice, Psychic",Oblivious Forewarn Hydration,45,30,15,85,65,65
#00239,Elekid,88.png,Electric,Static Vital Spirit,45,63,37,65,55,95
#00240,Magby,89.png,Fire,Flame Body Vital Spirit,45,75,37,70,55,83
#00241,Miltank,90.png,Normal,Thick Fat Scrappy Sap Sipper,95,80,105,40,70,100
#00242,Blissey,91.png,Normal,Natural Cure Serene Grace Healer,255,10,10,75,135,55
#00243,Raikou,92.png,Electric,Pressure Inner Focus,90,85,75,115,100,115
#00244,Entei,93.png,Fire,Pressure Inner Focus,115,115,85,90,75,100
#00245,Suicune,94.png,Water,Pressure Inner Focus,100,75,115,90,115,85
#00246,Larvitar,95.png,"Rock, Ground",Guts Sand Veil,50,64,50,45,50,41
#00247,Pupitar,96.png,"Rock, Ground",Shed Skin,70,84,70,65,70,51
#00248,Tyranitar,97.png,"Rock, Dark",Sand Stream Unnerve,100,134,110,95,100,61
#00249,Lugia,98.png,"Psychic, Flying",Pressure Multiscale,106,90,130,90,154,110
#00250,Ho-Oh,99.png,"Fire, Flying",Pressure Regenerator,106,130,90,110,154,90
#00251,Celebi,100.png,"Psychic, Grass",Natural Cure,100,100,100,100,100,100
